no,teks,sosmed,labels
376,@mhuseinali Bang millenial itu udh masuk di usia matang yg pstinya udh lama di dunia kerja ini genZ jngnkan hura2 mau beli motor buat kebutuhan sehari2 aja sbnrnya belum mampu jd mau beli rumah itu berasa jauhhh bgt mskipun mau tp jauh bang jmn skrng mah,x,Negatif
377,Jujur yaa.. Boomer2 tu lebih Nyusahinnn dan gak bisa mikir daripada Gen Z Yang masih bilang GenZ jelek di dunia kerja?? Liat negara kita sekarang dah wkwk puncak komedi,x,Positif
378,Lambang perlawanan genz yg gamau diinjak-injak di dunia kerja,x,Negatif
379,Kk2 gue marah2 begini di hadapan gue lgsg (real) gue dikeroyok disudutin akibat dr anak buahnya (genZ) kl kerja ga bener. Cuma grgr gue genZ jdi digeneralisir klo gue jg kayak anak buahnya. DAMN meskipun sbnrnya obrolan ini tntg ngasi paham gue dunia kerja TTP AJA MAKNYESS,x,Negatif
380,@tanyakanrl Gue genz tapi sopan ke siapapun di lingkup formal dan ke siapapun yg memangnya harus dihormati. Bahkan yg lebih muda dari gue tetep gue perlakukan hormat krn menurut gue di dunia kerja itu sektor formal. So stop generalisir ya mohon maap,x,Positif
381,@bennysiauw89 Bukannya terbukti gmn GenZ yg umumnya brmental lbh rapuh sngt pengaruhi dunia kerja saat ini.. apalagi di jkt dgn pace dan stress lbh tinggi &amp,x,Negatif
382,Jangan sok nuntut genZ profesional kalo definisi etos kerja dan keadian di kantor aja masih pake sistem keluarga &amp,x,Positif
383,Jangan Mengecilkan Gen Z Generasi Kreatif yang Siap Berkembang Di Dunia Kerja https://t.co/6HtBwU4nDE #GenZ,x,Positif
384,@kegblgnunfaedh Sebenernya gabisa di generalisasi semua GenZ tapi ya dunia itu persaingan apalagi di dunia kerja yg bisa maju adalah yg mau kerja lebih keras dari yang lainnya .,x,Positif
385,Yang pasti member nj nih genz banget apalagi dia dari luar korea ngga biasa sama dunia kerja disana dan biasa dimanja. Padahal ketika jadi idol dia harus paham segala resiko kalo ngga mau nerima resiko itu ya jangan jadi idol. Masalah saingan atau apapun yang terjadi di,x,Negatif
386,WKWKWKWKWK hari ini kidding pa diding njirrr. Walaupun aku juga GenZ + umur masih kecil tapi aku lihat yang umurnya lebih muda dari aku kek kemlinti banget njirrrr apalagi yang baru masuk di dunia kerja kuli pabrik Kalo soal ngeluh tiap hari aku juga ngeluh,x,Negatif
387,@lampungbase Haiiii setiap org punya milestone masing2. Jangan putus harapan yaa... fokus naikin value kamu. Belajar skill yg banyak d cari dunia kerja. GenZ pasrinya lbh paham apa2 yg paling d cari di masa digital skrg... sama 1 lg... selalu minta doa sm,x,Positif
388,beberapa waktu belakang isi postingan adalah keluhan kaum-kaum millenial ke gen z di dunia kerja gw pun. Saking capek negor berkali-kali gw biarin aja deh maunya gimanaa zonk ternyata. Gak mau diganggu diluar jam kerja tapi deadline mundur semua. Suka suka genZ pokokke ,x,Negatif
389,Rekan kerja nya kok genZ pusing deh dimana ego dan sifat narsistik nya masih sangat kuat.berasa hidup di dunia yang salah ni gue. #genz,x,Negatif
390,sumpah ya di acc sebelah banyak yg spill skor utbk anjir tahun ini gede-gede bgt keknya makin kesini makin banyak orang rajin dan pinter si takood bgt pasti persaingan dunia kerja nanti semakin ketat genz pada gila belajar,x,Positif
391,Yang benar aja bocah gen z kata² orang banyak bermasalah di dunia kerja dan bahkan gak punya masa depan tapi apa itu benar ? #genz #viral2024,x,Negatif
392,sumpah dah mls bngt klo apa apa slalu nyalain genz (konteksnya di dunia kerja) lah yang buat kualifikasi pas hiring pake usia minimal siapa bjr yaa jelas lah usia minimal yg tertera itu usia yang masuk kategori genz ,x,Negatif
393,Ada orang yang sering becandain anxiety. Dan sekarang gue baru ngrasain yang bener2 anxiety sampe ngaruh ke lambung. Wkwkwk Banyak yg bilang juga Anak2 genZ mental health mulu yang dipermasalahin di dunia kerja bla bla bla dikit2 mental health anxiety ,x,Negatif
394,@ara_ivenewjeans Padahal nunggu bgt stt rtz pengacara dokter modern sama yg kacamata kerja bareng di pengobatan tradisional tpi sampe ending gk ada Makanya pengen ada S2 yg fokus ke genz nya di dunia pengobatan tradisionalnya. Soalnya houlang masih ada po,x,Negatif
395,@BarudaksPapi Aku juga kaget baca trit mu ini. Padahal aku lama tinggal bekasi yg main kuliah kerja di jakarta. Kenapa ya seakan ada perubahan tata krama? Apakah karena genZ udah masuk dunia kerja budaya sopan-ramah jadi berkurang? Efek generasi ortu yg a,x,Negatif
396,ada orang(millenials) di tiktok bikin video curhat kelakuan genZ yg attitude kerjanya bikin nyebut trs banyak komen yang didik kita kan millenials kan bodo millenials mah punya anak jg jd gen Alpha dan blm mule masuk dunia kerja masih piyik GenZ ini kan ortunya gen X,x,Negatif
397,Gua genz tapi ngga kaya genz yg lain yg normalisasi sikap genz yg menurut gua kurang untuk dimunculkan dipekerjaan dan lucunya gua baru sadar kalo ditempat kerja gua ada anak genz yg real genz wkwk. seenaknya kalo kerja semaunya always say yaudahlah mau gmna lagi wkwk,x,Negatif
398,Ga profesional bgt huu masa kalah sama anak humas sekolahan yg pengalaman kerjanya masih 0 jangan mentang2 megang artis gede jadi etika bisnisnya nol besar bisnis ya tetep bisnis ini sih ga serius kerja males nih timnya,x,Negatif
399,semoga dari kejadian ini kita bertiga sama-sama belajar cara yang baik memperlakukan orang lain gimana kerja depannya. gak boleh mengganggap orang lain itu kecil di dunia kerja. kita ada di ruang profesional jadi pakai etika yang baik.,x,Positif
400,@se7en_rings Karena kebetulan aku sama kawan aku itu selalu buat acara kegiatan kyk gitu lembaga di kampus tempat aku kerja jadi suruh hundle Aku setiap tanya GK pakai intruksi2 Sampai di tegur sama Anggota lainnya cara etika bertanya pas rapat sama atasa,x,Negatif
401,Ternyata etika yg dulu diajarin pas kuliah berlaku ya sampe kerja wkwkwk,x,Positif
402,@fitridefi Udh gede udah kerja masa etika di publik masih harus diingetin atau akunya yang terlalu jogja gak pagam deh,x,Negatif
403,kasian bet temen kerja lu punya temen kek elu jir toxic banget. coba bayangin out of nowhere ada yang ngatain jelek sama kesukaan kita gak punya etika tau gak? untung temennya sabar wkwk sukur lo kagak dicut off ih najis beneran kebawa toxic ke rl si puki ini https://t.co/Cars1valLA,x,Negatif
404,Sesetengah orang yang berlencana ni memang nak kena masuk khursus adab Dan etika berkata. Aku faham kerja kalian tu mencabar tapi apa salahnya bertegas tapi masih menjaga bicara. Ada saja yang baik tutur katanya tetapi kira beruntunglah kalau dapat berurusan dengan yang tu.,x,Positif
405,Yang kerja bukan cuman kamu saja. Semua orang juga cape. Miskin perhatian miskin etika miskin kepedulian. Ga ada maaf ga ada terimakasih wajar kalau sakit hati. Saya manusia masih punya hati .!!,x,Negatif
406,Anjing sumpah kesel bgt tolong etika nyaa ya jink orang udh cape kerja seharian mau istirahat ini malah ngerobohin tembok jam segini berisik bgt taiiii,x,Negatif
407,@awal53677 @Mdy_Asmara1701 Ooo gitu yaa kalo challenge etika nya masih diterima di sosial... Kalo masalah terpuji mah sedekah zakat dsbnya.. tapi kalo ini sbnernya project kerja sama tapi dibungkus sosial aja sih tapi seharusnya semua untung ngga ada yang,x,Negatif
408,Pliss bgt lah kalo di restoran punya etika dikit masa mentang lagi kerja giliran cape langsung cipokan gitu terus,x,Negatif
409,aku smk dan guru aku dari awal masuk selalu ngajarin gimana etika kerja yang baik sebelum pkl pun dikasih wejang lagi buat beretika baik di industri kerja. Temen-temen aku pun ga ada yang bermasalah tuh di tempat pkl nya. etika itu tergantung orangnya sendiri bukan lulusannya,x,Positif
410,@Natsyanurjanna2 @sosmedkeras Etika dasar itu didapat dari orng tua...bukan dari pendidikan...gw lulusan SMK gampang aja keterima kerja sana sini krna gw tau tutur bahasa yg baik ke orng...kalau tutur kata dia ga baik brrti yng salah itu lingkungan tmpt t,x,Positif
411,@sisicerah @neVerAl0nely Pertanyaan sulit... Secara etika profesionalisme mungkin ga boleh apalagi dia kerja di bagian pelayanan. Sanksi harus berlaku untuk aksi pemukulannya karena ada aturan. Tapi kalau liatnya dari sisi...,x,Negatif
412,@ptr_sasha20810 @_mizuhashi @sosmedkeras Orang kaya gini tetep aja gak ngerti susahnya cari kerja udah punya etika sama skill aja masih susah buat cari kerja,x,Negatif
413,@_mizuhashi @sosmedkeras Wasting time hrd gak digaji buat ngurusin orang yg gak punya etika kerja. Pernyataan kmu juga isinya kosong. Ini lagi nyari kerja bukan lagi cabutan lotre coba coba keberuntungan. Ada namanya usaha dibarengi doa. Inget!,x,Negatif
414,@D_Wahyudi9 @sosmedkeras Kak jaman dlu ga k ada interneet looh tp lamar kerja rapi sopan tata bicara teratur. Itu mereka jg gk dpt pendidikan ttg etika. Tp mereka bisa kok paham. Kita tinggal cari google jaman skrg klo tdk tahu/bertanya/do our own researc,x,Positif
415,@Natsyanurjanna2 @sosmedkeras Gak ada orang mau kerja sama orang yang GAK SOPAN. Jgnkn sma/smk. Tk aja udah di ajar ETIKA DAN SOPAN. RIP km normalisasi ketikan diatas wajar.,x,Negatif
416,@tanyarlfes Dih mainnya pake generasi. Ga seru. Kata gw mah minimal lu TAU DIRI dulu. Lu kerja disana punya etika ngga? Bisa ngajak orang kerjasama ngga?,x,Negatif
417,@Anak__Ogi @jokowi Setahu ku perwira itu punya skill dan pemikiran yang di atas2 rata...adab etika sikap tp klu model2 bgini emang boleh...tp terserahlah mereka kan punya pandangan sendiri...semoga amanah dalam tugas di masing2 tempat kerja nya...,x,Negatif
418,@Natsyanurjanna2 @sosmedkeras Lu kali yg baru dapet etika pas kuliah gidah jadi kuli steam lulusan D3-sarjana yg lain masih mau cari kerja yg lebih baik atau sesuai keinginan mereka,x,Negatif
419,@_mizuhashi @sosmedkeras Sopan santun dan etika nomer satu bang baru nomer dua skill. Percuma kerja kalo ga jujur dan beretika bos gakan kasih percaya. Banyak org yg di sukai bos bahkan bisa naik drajatnya karena beretika jujur dan rajin. Nomer satu adab/,x,Positif
420,@hafurinka @sosmedkeras Sekarang udah ada biasanya diajarin di kelas XII. Masuk materi teks lamaran kerja kadang bareng CV. Aku pas di SMK diajarin etika menjawab pertanyaan interview dan etika menjawab pesan (email/wa). Dulu jaman KTSP emang bisa aja ga ,x,Positif
421,@sosmedkeras Ketahuan bolos nya sma kelas 12 itu belajar buat surat lamaran kerja dan gausah itu etika orang gak sekolah juga belajar sdm sdm,x,Negatif
422,@Natsyanurjanna2 @sosmedkeras udah jembutan juga masih aja ga ngerti etika ngelamar kerja. ga ada korelasinya mau baru lulus sma atau engga tolol jangan dipiara,x,Negatif
423,@Natsyanurjanna2 @sosmedkeras Maap bang gue dpt kerja pertama kali lgsg di perusahaan lumayan besar di tengah kota Jkt area kuningan dengan modal ijazah SMK. Yakali perusahaan besar mau pekerjain org gaada etika. Jgn sama ratain org2 yg gaada akhlak gitu ,x,Positif
424,@Natsyanurjanna2 @sosmedkeras lo dongong apa gimana nder? yg namanya orang belajar etika mah gak mandang lulusan apa. orang ada juga yang gelar sarjana tapi etikanya nol. dan ada juga yang lulusan SD malah lebih sopan. jgn dikira ya org yg lulusan SMA/SMK,x,Negatif
425,@sosmedkeras Kalau attitude dasar kayak gini aja gabisa sbg rekruiter ketar ketir dong dgn kemungkinan bakal kayak gimana dia kerja. Etika chat aja gabisa dipenuhi apalagi etika lain.,x,Negatif
426,@zuzumbabi @moxnst Ya berarti ga selamanya etika anak = ajaran orangtua. Anak-anak apalagi umur segitu dan orangtuanya udah tua juga gak selalu dibawah pengawasan mereka. Apalagi kaga ada nannynya. Apalagi orangtua yg kerja 22nya yg dimana justru lebih se,x,Positif
427,@jweonwo @gojekindonesia Mau dengan alasan apapun gk ada etikanya sampe nyumpahin hal buruk ke orang lain ya ges pokoknya ada masalah apapun diluaran sana jgn smpe dibawa sama org yg gk salah bahkan gk tau apa apa tentang hidupmu. Kerja profesional jd cus,x,Positif
428,@daldadol @Tunniskao @menjijikkan @brandnewswiftie @gojekindonesia Udah kak dia emang gapunya empati ke customer kayaknya. Kerja di bidang pelayanan mau apapun alasannya ga jadi pembenaran kalau ngasih taunya ga pake etika. Si driver tetep SALAH 100%. Ora,x,Negatif
429,Orang2 nih knp bangun bisnis pada fomo sih. Keliatan ada bisnis laku pada ngikutin semua minta spill resep giliran diajak kerja sama (pake brand yang aku bangun) malah emoh maunya bangun merek sendiri. Lah terus maunya enak aja? Terima jadi resep? Dasar org bego + nir etika,x,Negatif
430,@cakimiNOW @kemenkopmRI Dengan etika kerja jadi ibadah,x,Positif
431,@txtdrdigital Kalau yang daftar gen z umur 18 dengan etika kerja yang angin2an = langsung komplain gen z begini begitu Padahal customer itu sesuai dengan marketnya. Istilahnya jualan Posisi gaji 2.2 ya yang daftar akan sesuai bayaran. Sama kaya kita juala,x,Positif
432,Inilah bukti bahwa pendidikan etika budi pekerti dan nilai kebangsaan jauh lebih penting diajarkan di sekolah selain akademis dimasa depan urusan cari kerja dgn skill maupun sertifikasi bisa diraih melalui pendidikan vokasi sesuai bidang dan lapangan kerja yg dituju,x,Positif
433,Di sisi lain kewajiban seperti menyelesaikan pekerjaan tepat waktu menjaga etika dan menghargai rekan kerja juga tidak kalah pentingnya. Kesadaran ini akan menciptakan hubungan kerja yang lebih seimbang dan saling menghargai. https://t.co/kXf3Y9muyv,x,Positif
434,@worksfess Latar Pendidikan dan lingkungan itu emng ngaruh bgt. Gk smua orng ngerti etika di dunia kerja jdi hrd harus banyakin sabar yaa. Terima kasih nder,x,Positif
435,@diamondicecake ya gimana lagi kita hidup di jaman yg terlalu materialisme sampe2 harga diri orang ditakar dari posesi materi yg dimilikinya. Kayaknya value2 lain kayak etika moral sopan santun keilmuan wawasan etos kerja udah ga dianggap.,x,Negatif
436,minimal ada izin.. etika tuh nomor 1 apalagi skrg cari kerjaan susah nder aduh. semangat ya semoga nantinya kalo dpt kerja lg ga nyepelein tanggung jawab km di kerjaan,x,Positif
437,Melalui pengarahan ini para tamping diberikan pemahaman mengenai tanggung jawab etika kerja serta pentingnya menjaga sikap dan integritas selama menjalankan tugas.,x,Positif
438,@worksfess - Lapangan kerja yang mulai tergantikan dengan teknologi. - Stereotip anak muda yang mudah rapuh sulit kerja dibawah tekanan minim etika dalam dunia kerja no experience. - Persaingan bisnis yang semakin kuat reduce pengeluaran dengan stop hirin,x,Positif
439,anjg etika kerja mulu yang lo jadiin temeng,x,Negatif
440,ngomongin etika kerja ah sampah lu nctzen kebanyakan double standar emg dasarnya lu ga demen aja sama rj kan tolol,x,Negatif
441,etika kerja kontol kaliii,x,Negatif
442, Mana yang bilang GenZ gak bisa kerja? GenZ gak bisa kerja - merasa bersalah - stress - resign (something pejabat Indo will never do) ‍↔️,x,Negatif
443,Selama ini di lingkungan kerja kantoran yang selalu disalahin itu GenZ padahal yang lebih sering nyari perkara SENIORITAS huru hara banyak bacot ya Millenial itu tuh.,x,Negatif
444,ini misal ada yang bilang genz males kerja gue getok palanya soalnya gue adalah orang yang KERJANYA CEPET terus 3 hari ini gue LEMBUR ANJG BERARTI EMANG WORKLOAD GUE YANG JANCOK,x,Negatif
445,Konflik ginian tuh EMG ada bener ada salah nya sih. Boomer gamau karyawan nya GenZ tp standard penerimaan karyawan nya juga tolol. Yg GenZ juga gw akuin bnyak oknum yg lebay dikit2 mental health dikit2 lingkungan kerja yg toxic.,x,Negatif
446,@Grrrrr1230987 @sosmedkeras benar sekali. FYI mitra kerja sy - ada kok GenZ yg MANTAP - tapi maaf rata² mereka disiplin jarang main gadget (kecuali utk promosi) produktif (tapi ya itu sedikit sekali). Tetap Semangat kami dulu pun dicaci maki tpi langsung,x,Positif
447,@itszoyaaa_ @convomf Bener kak jadi aku ada kerja di family company awalanya aku kerja di a tiba dipindah kerja bagian b. Selama orientasi kerja nggak ada yang mau ngajarin kita tanya disalahin kita ngelakuin sesuai sop juga disalahin dan harus ngerti moo,x,Negatif
448,Oknum GenZ di jam kerja kebanyakan main gadget ditegur malah Playing Victim ... hmmm,x,Negatif
449,Ternyata dapet kerja itu gak melulu soal skill doang! Riset dari Zippia nunjukin kalau 85% orang masuk kerja lewat jalur orang dalam alias ordal. Bahkan 70% posisi penting diisi sama mereka yang punya koneksi kuat.,x,Negatif
450,Setelah lulus aku pernah ngajar di sekolah tapi resign karena my genZ ass menolak perbudakan berkedok pengabdian. Lalu sekarang coba kerja admin dan staff tapi nggak bisa bohong kalau passionku itu mengajar/tutoring.,x,Negatif
451,@convomf aneh banget buka lowongan kerja max. 25th tapi gamau genz tuh gimana anjir,x,Negatif
452,@convomf Ini persoalan timing aja ga sih? Ya secara angkatan kerja memang didominasi genZ. Millenials kalo ga pensiun ya passed out..,x,Positif
453,@beartaeby_ @convomf Dulu gue kerja ceo nya juga genz eh ternyata dia jalanin perusahaan pake gaya bapaknya untuk manager mereka dituntut bisa ngoding juga WKWKKWKWKWK Eh akhirnya hire temennya (dapet berita dr temen) Wkwkwkkw,x,Negatif
454,Kerja maksain passion tuh gaenak banget...demi apapun... Aku tu cuma mau desain2 lucu aja gamau mikirin skrip konten...im not genz enough for this shiet,x,Negatif
455,...sambungan. Kalau anda hairan kenapa pekerja GenZ ada tingkah laku tertentu annoying di tempat kerja mungkin sebab mereka tidak mahu jadi seperti ibu bapa mereka yang dilayan buruk oleh bos tapi tak berani bersuara. Mangsanya ie anak-anak ie GenZ di rumah. bersambung... https://t.co/fXU0Zs7e8D,x,Positif
456,@Hoshxi Takut banget nanti diomelin sama gen millenial katanya genz gak bisa kerja Abang. Janji ya Abang harus akur sama anak anak genz yang magang di lab ini juga? Haaa kalo itu sih aku masih bingung ya aku belum tau suka apa selain suka sama dia Abang.,x,Negatif
457,It will happen kalo perusahaan gak punya skema kerja yang jelas dan HR-nya asal rekrut kandidat. So don t be surprised when everything goes downhill ,x,Negatif
458,Terus waktu itu temen SMA juga cerita dia cari kerja dari toko ke toko. Yang ditanya apa? Umur. Terus ga diterima katanya 'anak seumuran dia' (literally we're genz) dibilang pemalas Padahal temenku ulet jir orang. Males? Egk dia dari semasa SMP nyari uang,x,Negatif
459,@remotivi Banyak pegawai kantoran yg ribut soal mental GenZ lemah tapi kalok buka lowongan kerja mintanya fresh graduate atau maksimal 23 ,x,Negatif
460,@Official_TIMAH Pecat karyawan kyk gitu sudah gak ada etika dan gak menghormati karyawan lain yg nota bene honorer .. BPJS diwajibkan oleh negara... Coba pikirin perasaan karyawan honorer yg kerja mati2an liat konten kyk ini,x,Negatif
461,@cheolisma @tanyarlfes Lol genz supporter. Kaum milenial iti seumur bapak lo. Klo mrk sevokal kalian dan dikir2 resign mrk punya anak dan bini yg perlu dikasi makan. As u know klo kalian resign trus dpt kerja baru semua prosedur diulang dr 0 termasuk jht ,x,Negatif
462,@tanyarlfes brisik bgt GEN TUA. gen z gen z emg penjilat bool boomer mah bakal nyalahin + anggap aneh genz yg brani speakup klo dia dieksploitasi di tempat kerja,x,Negatif
463,@BintangPD Semoga kamu diberikan kesehatan n rejeki yg berlimpah ya mas. Dan semoga ortumu baca twit ini atau adikmu. Aku jd inget anakku walau sudah kerja tp msh suka minta ongkostapi aku senang kshnya malah sering nawarin kak ada ongkos ga? . Semangat y,x,Positif
464,sebel bgt tai sm baby boomers yg latah underestimate genz. wajar lah genz misuh2 beda jaman beda pressure. lagian jg lu lu pada yg berkontribusi bikin aturan rekrutmen kerja ga jelas. lah itu pemerintah jg isinya kan baby boomers yg buat indonesia makin regresss,x,Negatif
465,@tanyarlfes Cari kerja emang susah tapi kalo skillset lu bagus dan lu pede dengan apa yang lu bisa deliver ya tingkat kesulitan cari kerja ga akan setinggi yang lain. Ini pola pikir GenZ yg menurut kalian lemah padahal mah sebenarnya kaliannya aja yang ke,x,Positif
466,@MindSpeakLouder @tanyarlfes Woy gen z paling muda aja ud masuk sma. Ngatain bocil berarti lu ga bisa bedain genz ama alpha dong WKWKWK bangkot goblok. Siap si paling sepuh kerja. Adab &amp,x,Negatif
467,keren sihh si genz genz itu tetep berprinsip kaya ginii. emang dasarnya sebagai pekerja dan pemberi kerja harus tau hak dan kewajibannya. santai ajaa nder orang yg berpsinsip kaya gtu can through it all jadi better u pikirin diri lu sendiri aja dehh....,x,Positif
468,@cheolisma @tanyarlfes Fr tho. Gen Z bisa dibilang korban kenaifan dan ketidakpedulian millenials soal hak kerja mereka. Jadi sekarang giliran GenZ speak up dikit dibilang rebel dan gabisa bekerja dalam tim. Padahal kalo memang lingkungan kerjanya enak da,x,Positif
469,@skaqhfk_ @P33PL00P @tanyarlfes Kayaknya malah sendernya sering ngalamin kak tapi ttp dilakuin karna 'cari kerja susah' Cari aman dia makanya kaget si genZ berani lawan bahkan resign,x,Positif
470,tmpatku juga anak genz 1bln setengah kerja trus dia kluar gitu aja via wa gara kena msalah karna keteledorannya sendiri sampe dirtur keuangan nanyain aq apa itu anak gk eman ya gajinya kan udah jln setengah bln trus kujwb ya gimana bu kluar aja via wa malah bneran gk gaji ,x,Negatif
471,Susah jg kerja sama genZ,x,Negatif
472,Sekarang pada heboh Wah DeepSeek nemuin cara pakai PTX! Padahal dari dulu ya emang gitu cara kerja GPU NVIDIA. Udah dr tahun 2007 lho. PTX adalah GenZ! Nah kenapa ga pada aware? 1️⃣ Bukan Gamedev jadi ga aware. 2️⃣ Kebanyakan pakai Framework. 3️⃣ Tahun 2007 ga ada duitnya,x,Negatif
473, kelakuan genz ditempat kerja -a thread,x,Negatif
474,@starfess GenZ Klo kerja kantoran nih JeanZ siap membangun agensi akhhh mereka ber5 juga siap jadi produser music. Duh kombek ngak mari menggoreng bersama biar yg panas makin gosong kalian muncul mulu ,x,Negatif
475,@worksfess btw ini kynya genz semua ya yg jawab kalo milenial ok aja asal memang gajinya kalo bisa jangan umr lah...jd anggapa aja freelance atau kerja remote yg ngga ngasih device,x,Negatif
476,@Gerindra @prabowo bener juga karena rata2 genZ sulit cari kerja rata2 terlilit pinjol dan rata2 pemain judol.... makana puas banget sama kinerja pak presiden . luar biasa,x,Negatif
477,@worksfess Khusus buta genZ ya yg kerja ngeluh mlulu giliran nganggur ngeluh juga.,x,Negatif
478,Krn aku lebih suka kerja sama genz dripda sama beberapa millenial dan boomers Aku lebih merasa inovatif kerja sama genz Millenial sama boomers jdi penasehat aja,x,Positif
479,Btw salfok yg kerja di bandara² itu skrg mostly anak2 milenial dan genz yekan beras abgt baca tulisannya kayak baca tulisan di buku catatan sekolahan dan kuliah kita yak. Kalau dulu kan kita ngeliat tulisan2 orang dewas atu khas orang dewasa,x,Negatif
480,ku sempet liat konten tiktok bertanya kenapa genz kerja seolah-olah ga takut dipecat? sebenernya bukan gataut dipecat juga sih... cuman menurutku karena sekarang sumber informasi udah serba gampang kita jadi lebih aware sama hak dan kewajiban sebagai pekerja,x,Positif
481,Inimah bukan masalah genz apa ngga tp masalah poverty jg ada andil sih. Saya umur 20an awal masih berkutat ama begadang tugas ama ngepas2in duit dr orangtua. Mau ke pertengahan sibuk skripsi ama cr kerja udah akhir br bisa mulai rutin olahraganya ,x,Positif
482,om yg asn mulai mengeluhkan kelakuan bawahannya yg genz. om yg swasta malah muji² genz tuh pinter pinter bgt bahkan dia bilang lebih keren dari jamannya dia dulu baru kerja. see... mungkin genz emg udh ga cocok jadi asn dgn aturannya yg semi militer itu,x,Positif
483,@tanyarlfes Yg gak berani berarti bodoh diperbudak. Gw sih kerja hanya yg emg kerjaan gw kalau bukan gw ya ditolak Bukan soal genZ atau gen apapun kalau emg dari awal hanya iya iya ngerjain yg bukan kerjaannya berarti bodoh,x,Negatif
484,Gak hanya soal mutasi tapi juga masalah kekerasan di tempat kerja. Kalau seorang pemimpin udah mulai menunjukkan kekerasan meskipun hanya berupa tamparan bisa bikin suasana kerja jadi toxic. Ini jadi PR besar buat HRD untuk menjaga culture yang sehat! https://t.co/kzsd7hvbKw,x,Negatif
485,D umur yg Uda mau injak 32 tahun ini mau cari kerja lagi susah ya trnyata wkwkwk pdhl iseng lamar2 jobstreet lg tp liat saingannya bnyak bener buset ribuan cmna mau di hire aku ya saingan genz Uda vakum 5thun dan ingin bekerja lagi tp siapa ya ordal yg bs masukin aku kerja,x,Negatif
486,another kelakuan genz hari ini: absen masuk jam 13.20 absen pulang jam 16.40 pas ditanya: Loh udah pada clock out semua kok mbak. tadi emang aku online dari jam 1 sih. kan yang penting kerja subhanallaaaahh,x,Negatif
487,Pusing tiap kerja selalu dpt temen kerja enak tapi atasan ga enak Mulu. Apakah ini saatnya gue yg akan jadi atasan? Buka lapangan kerja open loker untuk genz biar seumuran wkwwkkwk Biar bisa menghargai sesama manusia. Soalnya mantan atasan gue tidak memanusiakan manusia,x,Positif
488,Genz ini kasian loh. Baru lulus kesempatan kerja makin terbatas. Perusahaan maunya cari intern muluuu sekalinya ada rekrutmen dioper ke OS.,x,Positif
489,Been working with anak anak genz. Ada yang tetiba kabur dengan alasan sakit tapi banyak juga yg mereka kerja bener cerdas dan cemerlang. Mereka itu sama kek kita para milenial yang membedakan cuma pengalaman kita lebih banyak dan lebih lama. Please be wise.,x,Positif
490,banyak loker syarat max umur 25 tapi ga terima genz lu pikir siapa umur dibawah 25 yg bkn gen z? alasannya kenapa? ya betul karena bisa dibayar lebih murah dari yang berpengalaman. solusinya kalo gamau kerja sama gen z yaudah cari millenial/gen x sekalian. dumbest opinion.,x,Positif
491,@WidasSatyo Iya betul ini. Jgn menghina genz ato magang kl terima dites dl yg sesuai kebutuhan perushn dan kemampuan bayar kantornya ya. Kl ud lancar pinter ya namanya ud pengalaman kerja + harganya mahal lah. Sesuaikan aj ama kemampuan kantor jgn ngatain,x,Positif
492,@balerakko009 Tim seleksinya aja kali yg nyeleksinya gak bener gue kerja sama anak2 genZ potensinya bagus2 banget kok ethos kerjanya juga tinggi minat belajarnya juga tinggi banget. Bisa komunikasi dengan baik kalo ada problem atau yg dirasa ga ngerti.,x,Positif
493,Orang yg ngeluh GenZ ga bisa kerja most likely emang bad leadership aja. Tapi kan ga mungkin ngetweet: Anjir skill leadership dan manajerial gue jelek banget buat nurture Gen Z ,x,Negatif
494,Gua tau banyak banget genZ yang sekaligus generasi sandwich. Bentar bentar butuh duit meskipun udah kerja soalnya kudu ngurus keluarga ntah itu ortu adek kakak atau semua nya. Tapi harus banget kah ini genZ dipandang kek generasi serba bisa yang gampang dimanfaatin??,x,Negatif
495,@WidasSatyo Saya pernah sebat bareng dengan salah satu CEO yg mengeluh kariawan dia tiba2 resign (genz) tau kenapa? Gara2 kenal koreksi doang kalo kerjaan dia salah input data inget di koreksi bukan di caci di marahin nah bapak CEO ini ampe pusing padahal,x,Negatif
496,Gw mending kerja ama genZ si daripada boomer yg ngeyelan sotoy gamau menerima masukan kerja berasa perusahaan dia sendiri baperan!,x,Positif
497,pns lama yg di dalem aja udah pada muak sama kondisi dan birokrasi kalian milenial dan genz yg sebelumnya udah kerja di swasta kok malah pada baru mau masuk itu kenapa kena sambet apa jadi umbi level terendah pula ,x,Negatif
498,@rurulistyana @kegblgnunfaedh admin buzer bgini mana tw di dalam bnyak UMKM ga pernah liat yutub kasisolusi nya mas deri banyak pengangguran terjun ke afiliate krna cari kerja susah!dari lansia smpe genz terjun di afiliate!termasuk saya sbg afiliat pemula,x,Positif
499,Jadinya ya boomer ini anggep genZ bodoh atau kadang malah sok tau. Udah gitu cenderung gamau buat transfer ilmu jg karena anggepannya orang kerja udah hrs lgsg bisa. Lupa pas dia jadi karyawan baru juga dia bodoh dan banyak melakukan kesalahan.,x,Negatif
500,Ini tuh generation gap aja sbnrnya. GenZ itu pas masuk dunia kerja dia bawa ilmu2 baru dari kuliah (karena akademisi cenderung update metode) Sementara si boomer ini biasanya tipe yang dari dulu jg begitu ikutin aja . Terlalu nyaman sama apa yg sdh biasa dia kerjakan.,x,Positif
